type,accuracy,value
star_select_top_1%,precision,0.876
star_select_top_1%,recall,0.021
star_select_top_1%,fMeasure,0.041
star_select_top_2%,precision,0.842
star_select_top_2%,recall,0.04
star_select_top_2%,fMeasure,0.076
star_select_top_4%,precision,0.831
star_select_top_4%,recall,0.08
star_select_top_4%,fMeasure,0.146
star_select_top_8%,precision,0.804
star_select_top_8%,recall,0.154
star_select_top_8%,fMeasure,0.258
star_select_top_15%,precision,0.746
star_select_top_15%,recall,0.268
star_select_top_15%,fMeasure,0.394
watcher_select_top_1%,precision,0.839
watcher_select_top_1%,recall,0.02
watcher_select_top_1%,fMeasure,0.039
watcher_select_top_2%,precision,0.793
watcher_select_top_2%,recall,0.038
watcher_select_top_2%,fMeasure,0.073
watcher_select_top_4%,precision,0.755
watcher_select_top_4%,recall,0.072
watcher_select_top_4%,fMeasure,0.131
watcher_select_top_8%,precision,0.704
watcher_select_top_8%,recall,0.135
watcher_select_top_8%,fMeasure,0.227
watcher_select_top_15%,precision,0.629
watcher_select_top_15%,recall,0.226
watcher_select_top_15%,fMeasure,0.333
committer_select_top_1%,precision,0.789
committer_select_top_1%,recall,0.019
committer_select_top_1%,fMeasure,0.037
committer_select_top_2%,precision,0.718
committer_select_top_2%,recall,0.034
committer_select_top_2%,fMeasure,0.065
committer_select_top_4%,precision,0.632
committer_select_top_4%,recall,0.061
committer_select_top_4%,fMeasure,0.111
committer_select_top_8%,precision,0.567
committer_select_top_8%,recall,0.109
committer_select_top_8%,fMeasure,0.183
committer_select_top_15%,precision,0.524
committer_select_top_15%,recall,0.188
committer_select_top_15%,fMeasure,0.277
community_select_top_1%,precision,0.776
community_select_top_1%,recall,0.019
community_select_top_1%,fMeasure,0.037
community_select_top_2%,precision,0.693
community_select_top_2%,recall,0.033
community_select_top_2%,fMeasure,0.063
community_select_top_4%,precision,0.633
community_select_top_4%,recall,0.061
community_select_top_4%,fMeasure,0.111
community_select_top_8%,precision,0.572
community_select_top_8%,recall,0.11
community_select_top_8%,fMeasure,0.185
community_select_top_15%,precision,0.522
community_select_top_15%,recall,0.188
community_select_top_15%,fMeasure,0.276
star_delete_bottom_1%,precision,0.417
star_delete_bottom_1%,recall,0.99
star_delete_bottom_1%,fMeasure,0.587
star_delete_bottom_2%,precision,0.416
star_delete_bottom_2%,recall,0.979
star_delete_bottom_2%,fMeasure,0.584
star_delete_bottom_4%,precision,0.416
star_delete_bottom_4%,recall,0.959
star_delete_bottom_4%,fMeasure,0.58
star_delete_bottom_8%,precision,0.423
star_delete_bottom_8%,recall,0.933
star_delete_bottom_8%,fMeasure,0.582
star_delete_bottom_15%,precision,0.429
star_delete_bottom_15%,recall,0.875
star_delete_bottom_15%,fMeasure,0.576
watcher_delete_bottom_1%,precision,0.416
watcher_delete_bottom_1%,recall,0.989
watcher_delete_bottom_1%,fMeasure,0.586
watcher_delete_bottom_2%,precision,0.416
watcher_delete_bottom_2%,recall,0.978
watcher_delete_bottom_2%,fMeasure,0.584
watcher_delete_bottom_4%,precision,0.415
watcher_delete_bottom_4%,recall,0.956
watcher_delete_bottom_4%,fMeasure,0.579
watcher_delete_bottom_8%,precision,0.42
watcher_delete_bottom_8%,recall,0.927
watcher_delete_bottom_8%,fMeasure,0.578
watcher_delete_bottom_15%,precision,0.426
watcher_delete_bottom_15%,recall,0.87
watcher_delete_bottom_15%,fMeasure,0.572
committer_delete_bottom_1%,precision,0.415
committer_delete_bottom_1%,recall,0.985
committer_delete_bottom_1%,fMeasure,0.584
committer_delete_bottom_2%,precision,0.414
committer_delete_bottom_2%,recall,0.973
committer_delete_bottom_2%,fMeasure,0.581
committer_delete_bottom_4%,precision,0.41
committer_delete_bottom_4%,recall,0.943
committer_delete_bottom_4%,fMeasure,0.572
committer_delete_bottom_8%,precision,0.402
committer_delete_bottom_8%,recall,0.888
committer_delete_bottom_8%,fMeasure,0.553
committer_delete_bottom_15%,precision,0.402
committer_delete_bottom_15%,recall,0.82
committer_delete_bottom_15%,fMeasure,0.54
community_delete_bottom_1%,precision,0.415
community_delete_bottom_1%,recall,0.985
community_delete_bottom_1%,fMeasure,0.584
community_delete_bottom_2%,precision,0.414
community_delete_bottom_2%,recall,0.973
community_delete_bottom_2%,fMeasure,0.581
community_delete_bottom_4%,precision,0.41
community_delete_bottom_4%,recall,0.943
community_delete_bottom_4%,fMeasure,0.572
community_delete_bottom_8%,precision,0.403
community_delete_bottom_8%,recall,0.889
community_delete_bottom_8%,fMeasure,0.555
community_delete_bottom_15%,precision,0.402
community_delete_bottom_15%,recall,0.82
community_delete_bottom_15%,fMeasure,0.54
